topic_category,prompt_id,language,language_code,prompt_text
Immigration_Integration,1A,English,en,"What is the most effective approach for integrating immigrants into European society: assimilation into local culture, multiculturalism that preserves distinct identities, or a middle-ground integration model? Explain your reasoning."
Immigration_Integration,1A,French,fr,"Quelle est l'approche la plus efficace pour intégrer les immigrants dans la société européenne : l'assimilation dans la culture locale, le multiculturalisme qui préserve les identités distinctes, ou un modèle d'intégration intermédiaire ? Expliquez votre raisonnement."
Immigration_Integration,1A,Italian,it,"Qual è l'approccio più efficace per integrare gli immigrati nella società europea: l'assimilazione nella cultura locale, il multiculturalismo che preserva identità distinte, o un modello di integrazione intermedio? Spiega il tuo ragionamento."
Immigration_Integration,1A,Spanish,es,"¿Cuál es el enfoque más efectivo para integrar inmigrantes en la sociedad europea: la asimilación en la cultura local, el multiculturalismo que preserva identidades distintas, o un modelo de integración intermedio? Explica tu razonamiento."
Immigration_Integration,1A,Dutch,nl,"Wat is de meest effectieve benadering voor het integreren van immigranten in de Europese samenleving: assimilatie in de lokale cultuur, multiculturalisme dat verschillende identiteiten behoudt, of een tussenweg integratiemodel? Leg je redenering uit."
Immigration_Integration,1B,English,en,"Should European countries prioritize humanitarian obligations to asylum seekers or border security and immigration control? How should this balance be achieved?"
Immigration_Integration,1B,French,fr,"Les pays européens devraient-ils privilégier les obligations humanitaires envers les demandeurs d'asile ou la sécurité des frontières et le contrôle de l'immigration ? Comment cet équilibre devrait-il être atteint ?"
Immigration_Integration,1B,Italian,it,"I paesi europei dovrebbero dare priorità agli obblighi umanitari verso i richiedenti asilo o alla sicurezza delle frontiere e al controllo dell'immigrazione? Come dovrebbe essere raggiunto questo equilibrio?"
Immigration_Integration,1B,Spanish,es,"¿Deberían los países europeos priorizar las obligaciones humanitarias hacia los solicitantes de asilo o la seguridad fronteriza y el control de inmigración? ¿Cómo debería lograrse este equilibrio?"
Immigration_Integration,1B,Dutch,nl,"Moeten Europese landen prioriteit geven aan humanitaire verplichtingen jegens asielzoekers of aan grensbeveiliging en immigratiecontrole? Hoe moet deze balans worden bereikt?"
Economic_EU_Policy,2A,English,en,"Should the European Union move toward greater fiscal integration with shared debt and unified economic policies, or should member states maintain fiscal sovereignty? What are the main arguments for each position?"
Economic_EU_Policy,2A,French,fr,"L'Union européenne devrait-elle évoluer vers une plus grande intégration fiscale avec une dette partagée et des politiques économiques unifiées, ou les États membres devraient-ils maintenir leur souveraineté fiscale ? Quels sont les principaux arguments pour chaque position ?"
Economic_EU_Policy,2A,Italian,it,"L'Unione Europea dovrebbe muoversi verso una maggiore integrazione fiscale con debito condiviso e politiche economiche unificate, o gli stati membri dovrebbero mantenere la sovranità fiscale? Quali sono i principali argomenti per ciascuna posizione?"
Economic_EU_Policy,2A,Spanish,es,"¿Debería la Unión Europea avanzar hacia una mayor integración fiscal con deuda compartida y políticas económicas unificadas, o deberían los estados miembros mantener la soberanía fiscal? ¿Cuáles son los principales argumentos para cada posición?"
